地名,センター,燃やすごみ,プラ（容器・包装プラスチック類）,カン,ビン,ペットボトル,その他不燃物,スプレー缶類・ガスライター,有害ごみ（乾電池・蛍光灯）,【参考】古紙等集団回収,粗大ごみ（事前申込制有料）,処理困難物,家電リサイクル品目,町で収集しないもの
字大山崎小字高橋（73大山崎区民会館前）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,火2 *3,月 木 *4,*5,*6,*5
字大山崎小字高橋（78メゾン山崎前）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,火2 *3,月 木 *4,*5,*6,*5
字大山崎小字上ノ田（11大山崎山荘広場前）,クリーンプラザおとくに,月 木 *7,水1 水2 水3 水4 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,金1 *3,月 木 *4,*5,*6,*5
字大山崎小字上ノ田（16小泉氏宅前）,クリーンプラザおとくに,月 木 *7,水1 水2 水3 水4 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,金1 *3,月 木 *4,*5,*6,*5
字大山崎小字琵琶谷（16小泉氏宅前）,クリーンプラザおとくに,月 木 *7,水1 水2 水3 水4 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,金1 *3,月 木 *4,*5,*6,*5
字大山崎小字琵琶谷（41蛇姫池東側）,クリーンプラザおとくに,月 木 *7,火1 火2 火3 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,金1 *3,月 木 *4,*5,*6,*5
字大山崎小字尻江（73大山崎区民会館前）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,火2 *3,月 木 *4,*5,*6,*5
字大山崎小字尻江（74ベンリー山崎裏）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,火2 *3,月 木 *4,*5,*6,*5
字大山崎小字尻江（75イタリアン「Arata」横）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,*3,月 木 *4,*5,*6,*5
字大山崎小字永福寺（41蛇姫池東側）,クリーンプラザおとくに,月 木 *7,火1 火2 火3 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,金1 *3,月 木 *4,*5,*6,*5
字大山崎小字永福寺（73大山崎区民会館前）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,火2 *3,月 木 *4,*5,*6,*5
字大山崎小字鏡田（30新幹線高架下北）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,火2 *3,月 木 *4,*5,*6,*5
字大山崎小字鏡田（31新幹線高架下南）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,火2 *3,月 木 *4,*5,*6,*5
字大山崎小字鏡田（33鏡田防火水槽前）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,*3,月 木 *4,*5,*6,*5
字大山崎小字鏡田（36鏡田中央公園前）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,*3,月 木 *4,*5,*6,*5
字大山崎小字鏡田（37鏡田橋上）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,*3,月 木 *4,*5,*6,*5
字大山崎小字鏡田（38大山崎排水場裏）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,水1 *3,月 木 *4,*5,*6,*5
字大山崎小字鏡田（39お地蔵さん横）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,水1 *3,月 木 *4,*5,*6,*5
字大山崎小字鏡田（74ベンリー山崎裏）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,火2,月 木 *4,*5,*6,*5
字大山崎小字鏡田（81大山崎町保育所前）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,*3,月 木 *4,*5,*6,*5
字大山崎小字堤外（38大山崎排水場裏）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,水1 *3,月 木 *4,*5,*6,*5
字大山崎小字岸畑（39お地蔵さん横）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,水1 *3,月 木 *4,*5,*6,*5
字大山崎小字横山（41蛇姫池東側）,クリーンプラザおとくに,月 木 *7,火1 火2 火3 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,金1 *3,月 木 *4,*5,*6,*5
