label,sublabel,description,styles,bgcolor
燃やすごみ,,,,#ff4500
プラ（容器・包装プラスチック類）,,,,#4169e1
カン,,,,#808000
ビン,,,,#800000
ペットボトル,,,,#00bfff
その他不燃物,,,,#006400
スプレー缶類・ガスライター,,,,#ff1493
有害ごみ（乾電池・蛍光灯）,,,,#ffd700
【参考】古紙等集団回収,,,,#008080
粗大ごみ（事前申込制有料）,,,,#00ff00
処理困難物,,,,#ff00ff
家電リサイクル品目,,,,#ffa500
町で収集しないもの,,,,#ff0000
